#{"t_start": 1758364263.4824493, "env_id": "gymnasium_env/TowerDefenseWorld-v0"}
r,l,t
-182.0,676,2999.652495
-182.0,676,3003.032461
-183.0,742,3005.462229
-179.0,676,3008.812911
-181.0,688,3011.004316
-225.0,541,3012.630176
-176.0,698,3014.858011
-190.0,541,3017.678469
-179.0,676,3019.826016
-180.0,688,3022.042718
-179.0,676,3025.395087
-180.0,688,3027.587789
-171.0,698,3029.816392
-179.0,676,3033.186153
-191.0,691,3035.389554
-182.0,699,3037.624289
-185.0,677,3040.974448
-184.0,677,3043.125319
-176.0,688,3045.320121
-185.0,676,3048.677452
-179.0,676,3050.833581
-180.0,688,3053.263284
-179.0,676,3056.71255
-171.0,698,3058.951475
-168.0,740,3061.359659
-177.0,687,3064.750423
-210.0,687,3066.93477
-187.0,677,3069.080068
-177.0,687,3072.470682
-177.0,687,3074.645517
-180.0,741,3077.064678
-177.0,687,3080.471539
-180.0,687,3082.694862
-179.0,676,3084.84675
-161.0,833,3088.870253
-180.0,676,3091.014639
-184.0,677,3094.373559
-173.0,741,3096.788261
-177.0,687,3117.475101
-112.0,1412,3126.204108
-175.0,687,3128.392156
-177.0,687,3131.783843
-171.0,698,3134.041668
-175.0,687,3136.234841
-177.0,687,3139.610604
-175.0,687,3141.822579
-177.0,687,3144.024348
-182.0,676,3147.373909
-184.0,677,3149.520691
-175.0,687,3151.704403
-168.0,740,3155.309868
-179.0,676,3157.464054
-170.0,698,3159.713558
-189.0,677,3163.065949
-177.0,687,3165.254877
-176.0,687,3167.44752
-123.0,1354,3174.600961
-174.0,698,3177.086298
-184.0,677,3180.449487
-182.0,688,3182.639491
-170.0,698,3184.862278
-193.0,703,3188.321503
-192.0,702,3190.571883
-173.0,741,3192.9877
-179.0,676,3196.354029
-178.0,688,3198.584081
-177.0,687,3200.784783
-177.0,687,3204.185557
-220.0,689,3206.402957
-179.0,676,3208.553336
-180.0,688,3211.950769
-177.0,687,3214.14511
-210.0,687,3216.342448
-175.0,687,3219.74749
-187.0,689,3221.945468
-175.0,687,3224.143503
-177.0,687,3227.560991
-175.0,687,3229.794636
-106.0,1613,3238.112262
-168.0,740,3240.52212
-185.0,689,3243.937069
-177.0,687,3246.131168
-170.0,741,3248.541911
-175.0,687,3251.92522
-182.0,688,3254.114685
-177.0,698,3256.342297
-115.0,1412,3263.391214
-172.0,698,3265.615869
-159.0,833,3269.618467
-175.0,687,3271.806462
-201.0,693,3274.025177
-170.0,740,3277.63294
-176.0,687,3279.810262
-173.0,741,3282.206544
-179.0,676,3285.555228
-177.0,687,3287.741058
-171.0,699,3289.968783
-172.0,698,3293.676075
-175.0,687,3295.898281
-178.0,687,3298.078567
-225.0,690,3301.490789
-170.0,698,3303.721558
-180.0,687,3305.91918
-175.0,687,3309.320141
-190.0,541,3310.946518
-185.0,689,3313.140172
-179.0,676,3316.488588
-180.0,688,3318.673114
-187.0,690,3320.865296
-172.0,740,3324.515708
-194.0,703,3326.767279
-180.0,743,3329.178403
-177.0,700,3332.62236
-171.0,687,3334.796007
-215.0,688,3355.197688
-175.0,699,3360.341134
-175.0,687,3362.533855
-175.0,687,3364.716907
-185.0,689,3368.119835
-183.0,689,3370.317527
-167.0,698,3372.545536
-176.0,687,3375.929202
-174.0,687,3378.108992
-177.0,688,3380.299619
-177.0,687,3383.712978
-183.0,676,3385.858459
-175.0,687,3388.054936
-167.0,698,3391.489541
-179.0,676,3393.630879
-178.0,688,3395.816251
-190.0,541,3398.638741
-179.0,676,3400.777768
-175.0,687,3402.964944
-168.0,740,3406.565521
-175.0,687,3408.746025
-169.0,698,3411.005165
-176.0,688,3414.804465
-177.0,687,3417.003473
-171.0,687,3419.194741
-167.0,740,3422.80336
-165.0,740,3425.204336
-175.0,687,3428.59162
-173.0,687,3430.780705
-180.0,688,3432.971507
-181.0,676,3436.316118
-168.0,698,3438.551123
-168.0,699,3440.781766
-176.0,687,3444.204514
-177.0,687,3446.386358
-178.0,699,3448.608972
-181.0,688,3452.006126
-177.0,687,3454.19504
-174.0,699,3456.427032
-184.0,700,3459.878892
-169.0,698,3462.107381
-177.0,687,3464.263343
-174.0,699,3467.694936
-170.0,741,3470.100264
-176.0,687,3472.51644
-185.0,689,3476.06057
-171.0,687,3478.25701
-182.0,688,3480.441411
-168.0,740,3484.061224
-176.0,687,3486.24384
-178.0,687,3488.429788
-202.0,693,3491.862115
